 	Loπi h◊nh NPC	NgÚ hµnh phﬂng ng˘	NgÚ hµnh t n c´ng	Sinh l˘c	TËc ÆÈ di chuy”n 	ThÍi gian phÙc hÂi (sË li÷u)	Duy tr◊ thÍi gian n– tr∏nh (sË li÷u)	Duy tr◊ thÍi gian phﬂng ng˘ (sË li÷u)	ThÍi gian phÙc hÂi (sË li÷u)	NpcResType	Œ‰∆˜◊ ‘¥√˚≥∆	√¸÷–÷µ	Ch› mπng (kh´ng t∏c dÙng) 	N– tr∏nh 	T®ng t n c´ng vÀt l˝	T®ng NÈi c´ng 	Linh hoπt (kh´ng t∏c dÙng) 	Phﬂng thÒ vÀt l˝	Phﬂng ng˘ vÀt l˝ 100%	Phﬂng thÒ nÈi c´ng	NÈi phﬂng 100%	Phπm vi	Loπi AI	Kho∂ng c∏ch thÍi gian xˆ l˝ AI (sË li÷u)	SË hi÷u k¸ n®ng (1)	ßºng c p k¸ n®ng (1)	X∏c xu t k¸ n®ng (1)	X∏c xu t k¸ n®ng (2)	ßºng c p k¸ n®ng (2)	X∏c xu t k¸ n®ng (2)	SË hi÷u k¸ n®ng (3)	ßºng c p k¸ n®ng (3)	X∏c xu t k¸ n®ng (3)	SË hi÷u k¸ n®ng (4)	ßºng c p k¸ n®ng (4)	X∏c xu t k¸ n®ng (4)	Thi’t lÀp file vÀt r¨i	SË l≠Óng vÀt r¨i	C p	Trﬁ kinh nghi÷m 1	Trﬁ kinh nghi÷m 2	ThÍi gian mÁi c´ng k›ch th≠Íng 	Boss?	Chuy”n ÆÈng khi ÆËi thoπi kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	C„ hÂi m∏u kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	BossCfg	M∆c Æﬁnh script ÆËi thoπi ho∆c script tr‰ng th≠¨ng	Bπo k›ch	Bπo th≠¨ng	ChËng bπo k›ch	ChËng bπo th≠¨ng	InitScript
S≠ m´n mÀt th t Minh Gi∏o TrÀn Binh cao thÒ 9	0	0	0	2100000	12	17	10	10	8000	 ¶√≈√ÿ “√˜ΩÃ’Û±¯∏ﬂ ÷	ø’ ÷	4400	0	0	3500;4000	3500;4000	0	0	36	0	36	300	5	27	2697	2	30	2703	2	30	2700	2	30	932	2	10			120	8000		27	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n thÒ v÷ 1	0	0	0	40000	15	17	10	10	54	 ¶√≈√ÿ “√˜ΩÃ—™»À ÿŒ¿	ø’ ÷	1200	0	0	500;600	500;600	0	0	20	0	20	300	5	18	2697	2	100												90	400		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n thÒ v÷ 2	0	0	0	45000	15	17	10	10	54	 ¶√≈√ÿ “√˜ΩÃ—™»À ÿŒ¿	ø’ ÷	1600	0	0	550;650	550;650	0	0	22	0	22	300	5	18	2697	2	100												90	578		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n thÒ v÷ 3	0	0	0	50000	15	17	10	10	54	 ¶√≈√ÿ “√˜ΩÃ—™»À ÿŒ¿	ø’ ÷	2000	0	0	600;700	600;700	0	0	50	0	50	300	5	18	2697	2	100												90	849		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n thÒ v÷ 4	0	0	0	60000	15	17	10	10	54	 ¶√≈√ÿ “√˜ΩÃ—™»À ÿŒ¿	ø’ ÷	2400	0	0	350;450	350;450	0	0	26	0	26	300	5	18	2697	2	100												100	1080		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n thÒ v÷ 5	0	0	0	22500	15	17	10	10	180	 ¶√≈√ÿ “√˜ΩÃ—™»À ÿŒ¿	ø’ ÷	2800	0	0	800;1000	800;1000	0	0	28	0	28	300	5	18	2697	2	100												100	1500		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n thÒ v÷ 6	0	0	0	80000	15	17	10	10	54	 ¶√≈√ÿ “√˜ΩÃ—™»À ÿŒ¿	ø’ ÷	3200	0	0	900;1100	900;1100	0	0	30	0	30	300	5	18	2697	2	100												110	1500		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n thÒ v÷ 7	0	0	0	90000	15	17	10	10	54	 ¶√≈√ÿ “√˜ΩÃ—™»À ÿŒ¿	ø’ ÷	3600	0	0	350;450	350;450	0	0	32	0	32	300	5	18	2697	2	100												110	1700		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n thÒ v÷ 8	0	0	0	30000	15	17	10	10	180	 ¶√≈√ÿ “√˜ΩÃ—™»À ÿŒ¿	ø’ ÷	4000	0	0	1200;1300	1200;1300	0	0	34	0	34	300	5	18	2698	2	100												120	1700		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n thÒ v÷ 9	0	0	0	150000	15	17	10	10	54	 ¶√≈√ÿ “√˜ΩÃ—™»À ÿŒ¿	ø’ ÷	4400	0	0	1500;1800	1400;1600	0	0	36	0	36	300	5	18	2698	2	100												120	2000		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n cao thÒ 1	0	0	0	900000	12	17	10	10	1800	 ¶√≈√ÿ “√˜ΩÃ—™»À∏ﬂ ÷	ø’ ÷	1200	0	0	1500;1800	1500;1800	0	0	20	0	20	300	5	18	2697	2	100												90	1600		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n cao thÒ 2	0	0	0	1400000	12	17	10	10	1800	 ¶√≈√ÿ “√˜ΩÃ—™»À∏ﬂ ÷	ø’ ÷	1600	0	0	1600;1900	1600;1900	0	0	22	0	22	300	5	18	2697	2	100												90	2312		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n cao thÒ 3	0	0	0	1000000	12	17	10	10	1800	 ¶√≈√ÿ “√˜ΩÃ—™»À∏ﬂ ÷	ø’ ÷	2000	0	0	1700;2000	1700;2000	0	0	24	0	24	300	5	18	2697	2	100												90	3396		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n cao thÒ 4	0	0	0	1250000	12	17	10	10	1800	 ¶√≈√ÿ “√˜ΩÃ—™»À∏ﬂ ÷	ø’ ÷	2400	0	0	800;1200	800;1200	0	0	26	0	26	300	5	18	2698	2	85	2703	1	15									100	4320		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n cao thÒ 5	0	0	0	600000	12	17	10	10	1800	 ¶√≈√ÿ “√˜ΩÃ—™»À∏ﬂ ÷	ø’ ÷	2800	0	0	2000;2400	2000;2400	0	0	28	0	28	300	5	18	2697	2	100												100	6000		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n cao thÒ 6	0	0	0	1900000	12	17	10	10	1800	 ¶√≈√ÿ “√˜ΩÃ—™»À∏ﬂ ÷	ø’ ÷	3200	0	0	2200;2600	2200;2600	0	0	30	0	30	300	5	18	2697	2	100												110	6000		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n cao thÒ 7	0	0	0	1750000	12	17	10	10	1800	 ¶√≈√ÿ “√˜ΩÃ—™»À∏ﬂ ÷	ø’ ÷	3600	0	0	800;1200	800;1200	0	0	32	0	32	300	5	18	2698	2	85	2703	1	15									110	6800		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n cao thÒ 8	0	0	0	750000	12	17	10	10	1800	 ¶√≈√ÿ “√˜ΩÃ—™»À∏ﬂ ÷	ø’ ÷	4000	0	0	3000;3500	3000;3500	0	0	34	0	34	300	5	18	2697	2	100												120	6800		18	1	0								
S≠ m´n mÀt th t Minh Gi∏o Huy’t Nh©n cao thÒ 9	0	0	0	2100000	12	17	10	10	1800	 ¶√≈√ÿ “√˜ΩÃ—™»À∏ﬂ ÷	ø’ ÷	4400	0	0	3500;4000	3500;4000	0	0	36	0	36	300	5	18	2697	2	100												120	8000		18	1	0								
huoban_6_1	0	1	1	27500	5	17	10	10	604800	’‹±	ø’ ÷	5000	0	4000	1200;1275	1200;1275	10	0	15	0	15	3000	5	18	30055	11	75	30025	11	15	30027	11	8	30029	11	2		1	85			35	0									
huoban_6_2	0	3	3	27500	5	17	10	10	604800	∞◊Õ∑µÒ	ø’ ÷	5000	0	4000	1200;1275	1200;1275	10	0	15	0	15	3000	5	18	30148	10	75	30037	10	15	30039	10	8	30041	10	2		1	85			22	0									
huoban_6_3	0	2	2	27500	5	17	10	10	604800	“∞ÍÛ≈£	ø’ ÷	5000	0	4000	1200;1275	1200;1275	10	0	15	0	15	3000	5	18	30055	11	75	30031	11	15	30033	11	8	30035	11	2		1	85			26	0									
huoban_6_4	0	5	5	27500	5	17	10	10	604800	‘ππÌ2	ø’ ÷	5000	0	4000	1200;1275	1200;1275	10	0	15	0	15	3000	5	18	30055	11	75	30049	11	15	30051	11	8	30053	11	2		1	85			32	0									
huoban_6_5	0	1	1	27500	5	17	10	10	604800	æ∆»‚∫Õ…–	ø’ ÷	5000	0	4000	1200;1275	1200;1275	10	0	15	0	15	3000	5	18	30055	11	75	30025	11	15	30027	11	8	30029	11	2		1	85			18	0									
huoban_6_6	0	4	4	27500	5	17	10	10	604800	≤∂øÏ2	ø’ ÷	5000	0	4000	1200;1275	1200;1275	10	0	15	0	15	3000	5	18	30148	11	75	30043	11	15	30045	11	8	30047	11	2		1	85			34	0									
huoban_6_7	0	3	3	27500	5	17	10	10	604800	Ω£œ¿	ø’ ÷	5000	0	4000	1200;1275	1200;1275	10	0	15	0	15	3000	5	18	30148	11	75	30037	11	15	30039	11	8	30041	11	2		1	85			18	0									
pet_longyun	0	4	4	30000	5	0	0	0	604800	¬°Í¿	ø’ ÷	5500	100	4500	1300;1350	1300;1350	0	0	18	0	18	3000	5	18	30055	13	75	30182	1	15	30187	1	8	30185	1	2			85			18	2									
pet_chenlei	0	1	1	30000	5	0	0	0	604800	≥¬¿⁄	ø’ ÷	5500	100	4500	1300;1350	1300;1350	0	0	18	0	18	3000	5	18	30055	13	75	30190	1	15	30192	1	8	30196	1	2			85			18	2									
pet_xiongmao	0	5	5	30000	5	0	0	0	604800	∫Ï±≥–‹√®	ø’ ÷	5500	100	4500	1300;1350	1300;1350	0	0	18	0	18	3000	5	18	30055	13	75	30198	1	15	30200	1	8	30202	1	2			85			18	2									
Th∏i Nh t-ßËng Lˆa	0			5000000	0				720	“˛–Œ»À∞¢¡¡2																								1660	4	100																
9y_jrds	6				0					≈ÆΩ£œ…																																										
9y_bhxys	6				0					Àƒ¡È ˜3_2																																										
9y_cyr	6				0					∂Î·“√≈»À																																										
9y_szbqdyg	6				0					”„π÷1																																										
9y_tyxtm	0			100000	16	15	0	0	604800	÷–º∂Ω£øÕ	ø’ ÷	4000	100	2000	2000;3000	2000;3000	0	200	50	200	50	300	5	16	703	2	100												90			44	2					50	50	100	100	
9y_tydtm	0			300000	16	15	0	0	604800	“©»À	ø’ ÷	4000	100	2000	3000;4000	3000;4000	0	200	50	200	50	300	5	16	703	2	100	635	20	100									90			44	2					50	50	100	100	
laodai	6				0					ÕÍ—’œ£“¸																																										
sdhd_hftdz	0	0	0	38050	8	17	10	10	540	Ω≈∆…± ÷	ø’ ÷	923	100	0	1000;1044	1000;1044	0	200	50	200	50	300	5	18	701	2	100												90			36	1					50	50	100	100	\settings\static_script\npc\init\sdhd_xg.lua
sdhd_hfttz	0	0	0	400000	10	17	10	10	604800	…± ÷Ã√∏±Ã√÷˜	ø’ ÷	1373	0	100	2900;3108	2900;3108	0	200	50	200	50	300	5	18	636	3	60	633	14	20	632	12	14	649	1	6			90			18	1					50	50	100	100	\settings\static_script\npc\init\sdhd_boss.lua
xnhd_fs	6	0	0	600000	0	17	10	10	604800	ÃÏ±¯2	ø’ ÷	2000	100	0	400;500	400;500	0	0	0	0	0	500	5	9	30022	10	100												90			23	0									
xnhd_bdj	0	0	0	1000000	8	17	10	10	720	∞‘µ∂æ¯	ø’ ÷	371	100	40	3000;4000	3000;4000	10	40	40	52	40	300	5	18	703	2	100												90			27	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_jjk	0	3	3	1000000	8	17	10	10	720	æ˝Ω£øÒ	ø’ ÷	383	100	40	3000;4000	3000;4000	10	40	40	52	40	300	5	18	701	2	100												90			29	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_hdzg	0	3	3	1000000	8	17	10	10	720	ª√µ∂◊‹π‹	ø’ ÷	410	100	60	3000;4000	3000;4000	10	40	40	52	40	300	5	9	701	2	100												90			22	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_hjzg	0	1	1	1000000	8	17	10	10	720	ª√Ω£◊‹π‹	ø’ ÷	540	100	80	3000;4000	3000;4000	10	40	40	52	40	300	5	9	701	2	100												90			23	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_mlxztl	0	1	1	1000000	8	17	10	10	720	√Á¡Î—≤’ØÕ∑¡Ï	ø’ ÷	310	0	31	3000;4000	3000;4000	0	40	40	52	40	300	2	18	701	2	100												90			20	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_qzdymn	0	5	5	1000000	8	17	10	10	720	«ø◊≥µƒ“∞ÍÛ≈£	ø’ ÷	383	0	38	3000;4000	3000;4000	0	40	40	52	40	300	6	18	701	2	100												90			26	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_hyzg	0	4	4	1000000	8	17	10	10	720	ª§”°◊‹π‹	ø’ ÷	438	0	43	3000;4000	3000;4000	0	40	40	52	40	300	5	18	704	2	100												90			24	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_dfr	0	3	3	1000000	8	17	10	10	720	¥Û∑Ú»À	ø’ ÷	526	0	52	3000;4000	3000;4000	0	40	40	52	40	300	5	18	621	2	100												90			18	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_sstl	0	3	3	1200000	8	17	10	10	720	…± ÷Õ∑¡Ï	ø’ ÷	774	100	150	3000;4000	3000;4000	10	40	40	52	40	300	5	9	703	2	80	615	2	20									90			17	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_gstl	0	3	3	1200000	8	17	10	10	720	π≠ ÷Õ∑¡Ï	ø’ ÷	1220	100	50	3000;4000	3000;4000	10	40	40	52	40	300	5	9	705	2	100												90			35	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_cykh	0	0	0	1200000	12	17	10	10	720	ÕÍ—’∞¢π«¥Ú	ø’ ÷	4000	100	3000	3000;4000	3000;4000	10	40	40	52	40	300	5	18	1336	12		2108	2										90			24	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_yztm	0	4	4	1200000	5	17	10	10	720	“Ï◊ÂÕ∑ƒø	ø’ ÷	746	100	114	3000;4000	3000;4000	10	40	40	52	40	300	5	9	701	2	100												90			15	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_ljsl	0	0	0	1200000	12	17	10	10	720	¡…æ¸∂ºÕ≥	ø’ ÷	2500	100	80	3000;4000	3000;4000	10	40	40	52	40	300	5	18	705	2	100	1336	10	100									90			18	2					50	50	100	100	\settings\static_script\npc\init\tzwj_boss.lua
xnhd_ns	6									¥ÛƒÍ ﬁ	ø’ ÷	2923	100	80	116;168	116;168	0	0	0	0	0	300	5	9	634	2	100												90			18										
xnhd_nsdkz	6									«‡Õ≠±¶œ‰																																										
xnhd_cjhdds	6				3					÷–ƒÍ ›πŸ¿Ù1														18																												
mailbox	6									” œ‰																																		0								
ßÈng VÀt G©y RËi	0			4200000	3				5000000	Ã˙—Ú												0	5	9	701	2	90												90	50000		24	2		0							
Th≠¨ng Nh©n C«u T≠Îng Nh∏t Gan	6			5000000	0				5000000	—∞±¶»Àπÿø®														18															90													
Bang HÈi NgÚ Hµnh Kim S¯	6			5000000	0				5000000	Ω∆Ï π														18															90													
Bang HÈi NgÚ Hµnh MÈc S¯	6			5000000	0				5000000	ƒæ∆Ï π														18															90													
Bang HÈi NgÚ Hµnh ThÒy S¯	6			5000000	0				5000000	ÀÆ∆Ï π														18															90													
Bang HÈi NgÚ Hµnh H·a S¯	6			5000000	0				5000000	ª∆Ï π														18															90													
Bang HÈi NgÚ Hµnh ThÊ S¯	6			5000000	0				5000000	Õ¡∆Ï π														18															90													
B∂o r≠¨ng lÌn r¨i tr™n m∆t Æ t	6			5000000	0				5000000	◊ ‘¥±¶œ‰														18															90													
B∂o r≠¨ng nh· r¨i tr™n m∆t Æ t	6			5000000	0				5000000	◊ ‘¥±¶œ‰														18															90													
R≠¨ng Tµng B∂o ßÂ r¨i tr™n m∆t Æ t	6			5000000	0				5000000	…≥ƒÆ±¶œ‰														18															90													
Cıu ßËm	6				14					∞◊—Ú–°–°∫⁄														18																												
Cıu B–	6				25				259200	∞◊—Ú–°–°ﬂ„												2000		18																												
Gia C∏t C«m	6			5000000	0				5000000	 È…˙														18															90													
Bang HÈi Nga Mi Ti”u S≠ T˚	0	0	0			20	5	10	720	∂Î·“–° ¶Ω„	ø’ ÷	953	100	30	1556;1656	1556;1656	10	15	18	20	32	300	2	9	2650	5	100												70			18	2	0								
tong_juxiang	0	0	0	12600000	25	7	7	7	604800	“∞√´œÛ	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	0	50	0	50	300	5	9	701	20	85	30068	10	15	635	20	100						99	1100	1100	9	2							300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_juxiangzhihun	6	0	0	12600000		7	7	7	604800	“∞√´œÛ	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	0	80	0	80		0	9	701	20	50							635	20	100			99	1100	1100	9	2							300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_tongbiyuan	0	2	2	25200000	25	7	7	7	604800	∫⁄–…–…	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	12	60	0	60	300	5	9	701	20	70	612	1	10	30060	20	20	635	20	100			99	949	949	9	2							300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_tongbiyuanzhihun	6	2	2	25200000		7	7	7	604800	∫⁄–…–…	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	12	80	0	80		0	9	701	20	90							635	20	100			99	949	949	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_zhujian	0	4	4	37800000	25	7	7	7	604800	◊”“πª¢	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	6	70	0	70	300	5	9	701	20	70	1646	2	10	1397	1	20	635	20	100			99	463	463	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_zhujianzhihun	6	4	4	37800000		7	7	7	604800	◊”“πª¢	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	6	80	0	80	0	0	9	701	20	60							635	20	100			99	463	463	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_lingjiu	0	1	1	50400000	25	7	7	7	604800	∞◊Õ∑µÒ	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	12	80	0	80	300	5	9	701	20	70	1646	2	10	30074	20	20	635	20	100			99	322	322	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_lingjiuzhihun	6	1	1	50400000		7	7	7	604800	∞◊Õ∑µÒ	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	12	80	0	80	0	0	9	701	20	100							635	20	100			99	322	322	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_huxian	0	0	0	75600000	25	7	7	7	604800	—˝∫¸3	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	30	80	30	80	300	5	9	701	20	70	1646	2	10	1566	20	20	635	20	100			99			9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_hunxianzhihun	6	0	0	75600000		7	7	7	604800	—˝∫¸3	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	30	80	30	80	0	0	9	701	20	100							635	20	100			99			9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_zhujiuyin	0	0	0	100800000	25	7	7	7	604800	∑…ÃÏ3	ø’ ÷	5000	100	6000	6000;12000	6000;12000	5	5	80	0	80	300	5	9	701	20	50	1646	2	10	1568	20	40	635	20	100			99	1700	1700	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_zhujiuyinzhihun	6	0	0	100800000		7	7	7	604800	∑…ÃÏ3	ø’ ÷	5000	100	6000	6000;12000	6000;12000	5	5	80	0	80	0	0	9	701	20	100							635	20	100			99	1700	1700	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_jialouluo	0	4	4	126000000	25	7	7	7	604800	Â»¬•¬ﬁ	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	30	80	10	80	300	5	9	634	20	80	1646	2	10	1569	20	10	635	20	100			99	534	534	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_jialouluozhihun	6	4	4	126000000		7	7	7	604800	Â»¬•¬ﬁ	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	30	80	10	80	0	0	9	634	20	80							635	20	100			99	534	534	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_fengxi	0	0	0	126000000	25	7	7	7	604800	∑‚œ°	ø’ ÷	5000	100	6000	6000;12000	6000;12000			80		80	300	5	9	701	20	80	1646	2	10	1596	20	10	635	20	100			99	100	200	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_fengxizhihun	6	0	0	126000000		7	7	7	604800	∑‚œ°	ø’ ÷	5000	100	6000	6000;12000	6000;12000			80		80	0	0	9	701	20	100							635	20	100			99	100	200	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_baize	0	0	0	126000000	25	7	7	7	604800	≈ø≈ø–‹	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	0	80	0	80	300	5	9	636	20	80	1646	2	10	1942	20	10	635	20	100			99	820	820	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_baizezhihun	6	0	0	126000000		7	7	7	604800	≈ø≈ø–‹	ø’ ÷	5000	100	6000	6000;12000	6000;12000	0	0	80	0	80	0	0	9	636	20	100							635	20	100			99	820	820	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_wushen	0	0	0	126000000	25	7	7	7	604800	«π…Ò”ÆÃÏ	ø’ ÷	5000	100	6000	6000;12000	6000;12000			80		80	300	5	9	701	20	80	1646	2	10	1974	20	10	635	20	100			99	100	200	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
tong_wushenzhihun	6	0	0	126000000		7	7	7	604800	«π…Ò”ÆÃÏ	ø’ ÷	5000	100	6000	6000;12000	6000;12000			80		80	0	0	9	701	20	100							635	20	100			99	100	200	9	2					50	100	300	300	\settings\static_script\npc\init\tzwj_boss.lua
sz_ymg	0	0	0	20000000	12	7	7	7	5400	‘ππÌ	ø’ ÷	5000	100	3500	6000;12000	6000;12000		430	80	430	80	300	2	9	703	10	100							635	20	100			99			9	1					30	60	900	900	\settings\static_script\npc\init\tzwj_boss.lua
sz_mzjg	6	0	0							ƒæ»À◊Æ																																										
sz_dr	0	0	0	20000000	12	7	7	7	5400	∏Øπ«∂æ»À	ø’ ÷	5000	100	3500	6000;12000	6000;12000	10	430	80	430	80	300	5	9	701	10	100							635	20	100			99			9	1					30	60	900	900	\settings\static_script\npc\init\tzwj_boss.lua
sz_zfjgy	6	0	0							ƒæ»À◊Æ2																																										
sz_zfjge	6	0	0							ƒæ»À◊Æ2																																										
sz_zfjgs	6	0	0							ƒæ»À◊Æ2																																										
sz_szkl	0	0	0	40000000	12	7	7	7	5400	 Ø»À3		5000	100	3500	6000;12000	6000;12000	0	687	80	687	80	300	5	9	701	10	80	1611	5	20				635	20	100			99			9	1					48	96	900	900	\settings\static_script\npc\init\tzwj_boss.lua
sz_qydst	6	0	0							“ª∂—Œ⁄Ω Ø																																										
sz_ggg	0	0	0	40000000	12	7	7	7	5400	Œ˜œƒ”¬ ø	ø’ ÷	5000	100	3500	6000;12000	6000;12000	0	687	80	687	80	300	5	9	701	10	80	616	5	20				635	20	100			99			9	1					48	96	900	900	\settings\static_script\npc\init\tzwj_boss.lua
sz_cldxc	6	0	0							ªÓ∂ØÕ∏√˜»À																																										
sz_smr	0	0	0	60000000	13	7	7	7	5400	…Ò√ÿ∫⁄“¬»À	ø’ ÷	5000	100	3500	6000;12000	6000;12000	0	945	80	945	80	300	5	9	701	10	80	624	5	10	614	5	10	635	20	100			99			9	1					66	132	900	900	\settings\static_script\npc\init\tzwj_boss.lua
sz_tpzj	6	0	0							ªÓ∂ØÕ∏√˜»À																																										
sz_bfdcx	6	0	0							πŸ‘±																																										
sz_srdst	6	0	0							¿◊ §ª§Œ¿ ¨ÃÂ																																										
sz_cxqx	6	0	0							πŸ∏Æ—√“€																																										
sz_cmswtl	6	0	0							≥«√≈Œ¿±¯																																										
sz_jjtl	6	0	0							 ÿ÷˘Õ≥¡Ï																																										
sz_qbfz	6	0	0							 ’ºØ…Ã»À																																										
jinke	6	0	0							 È…˙																																										
sz_lgdys	6	0	0							¡…π˙Œ‰Ω´∂‘ª∞																																										
myty_chichi	0	0	0	400000	15	20	10	10	5400	—™¡€∂æÚ˛	ø’ ÷	5000	100	1500	6000;12000	6000;12000			50		50	600	5	9	610	2	85	614	20	15							\settings\droprate\myty\dropratenpc001.ini	1	99	10000	10000	18	1		1			150	200	200	400	\settings\static_script\npc\init\myty_pt.lua
myty_bawanghua	0	0	0	200000	2	20	10	10	5400	æÁ∂æ ≥»À≤›	ø’ ÷	5000	100	500	9000;15000	6000;12000			50		50	600	5	9	704	2	80	600	20	20							\settings\droprate\myty\dropratenpc001.ini	1	99	10000	10000	18	1		1			150	200	200	400	\settings\static_script\npc\init\myty_pt.lua
myty_miludetianyinjiaotu	6	0	0							◊¯µÿ∆Úÿ§													0																99			18	2									
myty_tianyinjiaozhuanshi	0	0	0	40000000	25	20	10	10	604800	–∞œ…»À	ø’ ÷	5000	100	1500	6000;12000	6000;12000			70		70	600	5	9	704	2	65	932	6	35	966	5	10	635	20	100	\settings\droprate\myty\droprateboss001.ini	5	99	2000000	2000000	18	2		1			150	200	200	400	\settings\static_script\npc\init\myty_boss.lua
myty_zhongshangdetianyinjiaotu	0	0	0	40000000	25	20	10	10	604800	≤–Õ»	ø’ ÷	5000	100	1500	6000;12000	6000;12000			70		70	600	5	9	701	2	60	704	4	40							\settings\droprate\myty\droprateboss001.ini	5	99	2000000	2000000	18	2		1			150	200	200	400	\settings\static_script\npc\init\myty_boss.lua
myty_chenlei1	0	0	0	120000000	20	20	10	10	604800	≥¬¿⁄	ø’ ÷	5000	100	2500	9000;15000	6000;12000			80		80	600	5	9	30055	13	60	30190	1	20	30192	1	10	699	1	10	\settings\droprate\myty\droprateboss002.ini	10	99	3000000	3000000	18	2		1			150	200	200	400	\settings\static_script\npc\init\myty_boss.lua
myty_chenlei2	6	0	0							≥¬¿⁄													0																99			18										
myty_xunbaodewulinshi	0	0	0	450000	20	20	10	10	5400	÷–º∂Ω£øÕ	ø’ ÷	5000	100	1500	8000;13000	6000;12000			50		50	600	1	9	703	2	100										\settings\droprate\myty\dropratenpc001.ini	1	99	10000	10000	18	1		1			150	200	200	400	\settings\static_script\npc\init\myty_pt.lua
myty_xianglixuance	6	0	0							◊œ«Â…œ»À													0																99			18										
