T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ  (1-10 m«n ph¸i, 10 c¶ bé trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	
Liªu-Chu T­íc T­íng Y	0	100	32312	10	40000	0	360	50;50					300053	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0						
Liªu-Chu T­íc T­íng Y	0	100	32313	10	40000	0	360	50;50					300054	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0						
Liªu-Chu T­íc T­íng Y	0	100	32314	10	40000	0	360	50;50					300055	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0						
Liªu-Chu T­íc T­íng Y	0	100	32315	10	40000	0	360	50;50					300056	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0						
Liªu-Chu T­íc T­íng Y	0	100	32316	10	40000	0	360	50;50					300057	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0						
Liªu-Chu T­íc T­íng Y	0	100	32317	10	40000	0	360	50;50					300058	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0						
Liªu-Chu T­íc T­íng Y	0	100	32318	10	40000	0	360	50;50					300059	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0						
Liªu-Chu T­íc T­íng Y	0	100	32319	10	40000	0	360	50;50					300060	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0						
Liªu-Chu T­íc T­íng Y	0	100	32320	10	40000	0	360	50;50					300061	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0						
Liªu-Chu T­íc T­íng Y	0	100	32321	10	40000	0	360	50;50					300062	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0						
Liªu-Chu T­íc T­íng Y	0	100	32322	10	40000	0	360	50;50					300063	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0						
Liªu-Chu T­íc T­íng Y	0	100	32323	10	40000	0	360	50;50					300064	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0						
Liªu-Chu T­íc T­íng Y	0	100	32324	10	40000	0	360	50;50					300065	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32325	10	40000	0	360	50;50					300066	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32326	10	40000	0	360	50;50					300067	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32327	10	40000	0	360	50;50					300068	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32328	10	40000	0	360	50;50					300069	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32329	10	40000	0	360	50;50					300070	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32330	10	40000	0	360	50;50					300071	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32331	10	40000	0	360	50;50					300072	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32332	10	40000	0	360	50;50					300073	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32333	10	40000	0	360	50;50					300074	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32334	10	40000	0	360	50;50					300075	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32335	10	40000	0	360	50;50					300076	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32336	10	40000	0	360	50;50					300077	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32337	10	40000	0	360	50;50					300078	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32338	10	40000	0	360	50;50					300079	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32339	10	40000	0	360	50;50					300080	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32340	10	40000	0	360	50;50					300081	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32341	10	40000	0	360	50;50					300082	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32342	10	40000	0	360	50;50					300083	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32343	10	40000	0	360	50;50					300084	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32344	10	40000	0	360	50;50					300085	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32345	10	40000	0	360	50;50					300086	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0						
Liªu-Chu T­íc Nguyªn So¸i Y	0	100	32346	10	40000	0	360	50;50					300087	790			T©n thñ kh«ng thÓ dïng			A¸nh bót dµy m­a giã, ®­êng mùc râ v©n m©y <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0						
A¸o Ph¸ Hån	0	100	32347	10	40000	0	360	45;45						590						<color=Gold>KiÕm khİ tung hoµnh v¹n dÆm, ¸nh l¹nh rùc s¸ng cöu ch©u		Upper Garment		10;10	4	1		0	999	96	116	82	12	
Quang Minh Xİch Háa Th­êng	0	100	32348	80	40000	0	220	24;24					300089	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	4	1	25	0						
Quang Minh Xİch Háa Th­êng	0	100	32349	80	40000	0	220	24;24					300090	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	4	1	25	0						
Quang Minh Xİch Háa Th­êng	0	100	32350	80	40000	0	220	24;24					300091	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	4	1	25	0						
Quang Minh Xİch Háa Th­êng	0	100	32351	80	40000	0	220	24;24					300092	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	4	1	25	0						
Cù Méc L·nh NguyÖt Th­êng	0	100	32352	80	40000	0	220	24;24					300093	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	4	1	27	0						
Cù Méc L·nh NguyÖt Th­êng	0	100	32353	80	40000	0	220	24;24					300094	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	4	1	27	0						
Cù Méc L·nh NguyÖt Th­êng	0	100	32354	80	40000	0	220	24;24					300095	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	4	1	27	0						
Cù Méc L·nh NguyÖt Th­êng	0	100	32355	80	40000	0	220	24;24					300096	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	4	1	27	0						
NhuÖ Kim L¨ng V©n Th­êng	0	100	32356	80	40000	0	220	24;24					300097	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	4	1	26	0						
NhuÖ Kim L¨ng V©n Th­êng	0	100	32357	80	40000	0	220	24;24					300098	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	4	1	26	0						
NhuÖ Kim L¨ng V©n Th­êng	0	100	32358	80	40000	0	220	24;24					300099	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	4	1	26	0						
NhuÖ Kim L¨ng V©n Th­êng	0	100	32359	80	40000	0	220	24;24					300100	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	4	1	26	0						
B¨ng T©m S­¬ng Hoa Th­êng	0	100	32360	80	40000	0	220	24;24					300101	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	4	1	29	0						
B¨ng T©m S­¬ng Hoa Th­êng	0	100	32361	80	40000	0	220	24;24					300102	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	4	1	29	0						
ThiÖn A¶nh L­u Ly Th­êng	0	100	32362	80	40000	0	220	24;24					300103	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	4	1	30	0						
ThiÖn A¶nh L­u Ly Th­êng	0	100	32363	80	40000	0	220	24;24					300104	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	4	1	30	0						
Phong Khëi ChÊp Thiªn Th­êng	0	100	32364	80	40000	0	220	24;24					300105	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	4	1	32	0						
Phong Khëi ChÊp Thiªn Th­êng	0	100	32365	80	40000	0	220	24;24					300106	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	4	1	32	0						
L«i §éng TuÇn Thiªn Th­êng	0	100	32366	80	40000	0	220	24;24					300107	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	4	1	23	0						
L«i §éng TuÇn Thiªn Th­êng	0	100	32367	80	40000	0	220	24;24					300108	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	4	1	23	0						
L¨ng Hoa Th­êng	0	100	32368	80	40000	0	220	24;24					300109	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	4	1	31	0						
L¨ng Hoa Th­êng	0	100	32369	80	40000	0	220	24;24					300110	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	4	1	31	0						
L¨ng Hoa Th­êng	0	100	32370	80	40000	0	220	24;24					300111	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	4	1	31	0						
L¨ng Hoa Th­êng	0	100	32371	80	40000	0	220	24;24					300112	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	4	1	31	0						
ChiÕn Khİ S¸t ThÇn Gi¸p	0	100	32372	30	40000	0	200	40;40					300113	1090	1	1		\image\item\cloth\·Éºè²ĞÏ¼ÒÂ±ê×¼a1.spr	\image\item\cloth\·Éºè²ĞÏ¼ÒÂ±ê×¼a0.spr	Léng lÉy tùa ¸nh sao, søc m¹nh v« song, ®i m©y c­ìi giã tùa th¸nh thÇn.	±ê×¼ÄĞ·Éºè²ĞÏ¼ÒÂ	§· khãa		10;10	4	1		0		7	124	87	9	
ChiÕn Khİ S¸t ThÇn Gi¸p	0	100	32373	30	40000	0	200	40;40					300114	1090	1	2		\image\item\cloth\·Éºè²ĞÏ¼ÒÂ¿ıÎàa1.spr	\image\item\cloth\·Éºè²ĞÏ¼ÒÂ¿ıÎàa0.spr	Léng lÉy tùa ¸nh sao, søc m¹nh v« song, ®i m©y c­ìi giã tùa th¸nh thÇn.	¿ıÎàÄĞ·Éºè²ĞÏ¼ÒÂ	§· khãa		10;10	4	1		0		7	124	87	9	
ChiÕn Khİ S¸t ThÇn Gi¸p	0	100	32374	30	40000	0	200	40;40					300115	1090	2	3		\image\item\cloth\·Éºè²ĞÏ¼ÒÂĞÔ¸Ğa1.spr	\image\item\cloth\·Éºè²ĞÏ¼ÒÂĞÔ¸Ğa0.spr	Léng lÉy tùa ¸nh sao, søc m¹nh v« song, ®i m©y c­ìi giã tùa th¸nh thÇn.	ĞÔ¸ĞÅ®·Éºè²ĞÏ¼ÒÂ	§· khãa		10;10	4	1		0		7	124	87	9	
ChiÕn Khİ S¸t ThÇn Gi¸p	0	100	32375	30	40000	0	200	40;40					300116	1090	2	4		\image\item\cloth\·Éºè²ĞÏ¼ÒÂ½¿Ğ¡a1.spr	\image\item\cloth\·Éºè²ĞÏ¼ÒÂ½¿Ğ¡a0.spr	Léng lÉy tùa ¸nh sao, søc m¹nh v« song, ®i m©y c­ìi giã tùa th¸nh thÇn.	½¿Ğ¡Å®·Éºè²ĞÏ¼ÒÂ	§· khãa		10;10	4	1		0		7	124	87	9	
Th¸i Minh Y	0	109	1209	10	0	0	360							1	1	1		\image\item\cloth\²Êì·Ã÷«šÒÂ±ê×¼a1.spr	\image\item\cloth\²Êì·Ã÷«šÒÂ±ê×¼a0.spr	S¾c xu©n huy hoµng, chiÕu räi kh¾p n¬i. Cê bay trªn cao, xanh nh­ ngäc béi.	±ê×¼ÄĞ²Êì·Ã÷«šÒÂ	Upper Garment		1	2	1		1	999					
Th¸i Minh Y	0	109	1210	10	0	0	360							1	1	2		\image\item\cloth\²Êì·Ã÷«šÒÂ¿ıÎàa1.spr	\image\item\cloth\²Êì·Ã÷«šÒÂ¿ıÎàa0.spr	S¾c xu©n huy hoµng, chiÕu räi kh¾p n¬i. Cê bay trªn cao, xanh nh­ ngäc béi.	¿ıÎàÄĞ²Êì·Ã÷«šÒÂ	Upper Garment		1	2	1		1	999					
Th¸i Minh Y	0	109	1211	10	0	0	360							1	2	3		\image\item\cloth\²Êì·Ã÷«šÒÂĞÔ¸Ğa1.spr	\image\item\cloth\²Êì·Ã÷«šÒÂĞÔ¸Ğa0.spr	S¾c xu©n huy hoµng, chiÕu räi kh¾p n¬i. Cê bay trªn cao, xanh nh­ ngäc béi.	ĞÔ¸ĞÅ®²Êì·Ã÷«šÒÂ	Upper Garment		1	2	1		1	999					
